Country,gti_2011,gti_2012,gti_2013,gti_2014,gti_2015,gti_2016,gti_2017,gti_2018,gti_2019,gti_2020,gti_2021
Afghanistan,9.09390234499614,9.12391044324881,8.92024575647128,8.88919164709854,8.85367603177533,8.7077703237784,8.84928995309023,9.06951302871525,9.03873977046826,9.05069558022664,9.10923644152493
Iraq,9.68388047862396,9.59481177727456,9.86220629066638,9.84710936149745,9.78515463197107,10.0,9.7418890041722,9.41754932663841,9.01292859376607,8.69541873406733,8.51122285103377
Somalia,7.89608495903012,7.95368062984576,7.81687134630608,7.68164192704753,7.7053646400296,8.18018970073222,8.73926214772685,8.66044270150118,8.57126304595703,8.48942927138729,8.39826619224147
Burkina Faso,0.0,0.0,0.0,0.0,3.47654909308795,5.62031656193012,6.22568166787691,6.86134243833947,7.89468780916564,8.12156823320901,8.26964264716421
Syria,5.77631682357333,8.24646575003921,8.42900898710822,8.28871619318298,7.99902459078864,8.08980340639282,7.93193313252749,7.80953504991776,7.89747985840158,8.29970806874604,8.24955251045031
Nigeria,7.47932377178179,8.10300553176176,8.34170144945072,8.92717093861753,9.11773244155698,8.76109066143463,8.64499572460347,8.48164519698,8.379999833278,8.42060269180957,8.232720848713729
Mali,4.34830247810181,5.50486875140112,5.86238038766937,5.97065229695043,6.89127858102014,7.03558983166125,7.50866342632971,7.71066297990837,7.83187161618551,7.92210993336064,8.15223020724312
Niger,3.82871558489538,3.19015824045636,3.83597100259306,4.389574025285,6.65583085415643,6.6844648082427,6.60167402609969,6.52810021055856,7.23004292131656,7.4147054822416,7.85594738129997
Myanmar,6.01761199946945,5.57316660035872,5.20860873971652,4.64196289609062,4.50609424701637,4.61341831073998,4.84136453164727,4.80201753768046,6.09863642449647,5.94942468921059,7.82971087430841
Pakistan,9.21287525750141,9.15059889054235,9.17931432304289,8.99453153846398,8.74429780768393,8.59654882975905,8.52651759136239,8.37550206989784,8.08200052170478,7.92206385412702,7.82532162361533
Cameroon,3.18579560724484,2.60714006699658,2.76644785139396,6.17237682293159,7.36214569768531,7.2499365001864,7.25347409843125,7.59829333522441,7.77362144651896,7.625364239906,7.43243770846397
India,8.12350578855447,7.80428216714814,7.69866299838397,7.47730837709206,7.42913842019069,7.51960153153831,7.71080413983549,7.89483047879352,7.79967686060049,7.66772314718723,7.43240526439521
Mozambique,0.509012002146956,0.29137851716651,3.03314115719135,3.5933562873553,3.00665649788775,4.43208468818836,4.7993071102378,6.45197868263709,7.33054123371807,7.8312986745019,7.43193468875299
Colombia,7.25719592811077,7.36327094198833,7.35994372927745,7.11441314600284,7.09903086299666,6.80395884682024,6.69956950852065,7.05061890372545,7.35477800924673,7.29422632564145,7.06779231579021
Egypt,5.29929879165215,5.81139551186562,6.79760058805527,7.20682354902338,7.82807906803273,7.89000473211836,8.18010760945706,7.85305785301057,7.56723064176493,7.30414043997921,6.9315406076162
Philippines,7.33063246546466,7.21087662363606,7.17638326387895,6.87836441794103,6.61927586909206,6.78371355575242,7.0590484728434,7.17378484988548,7.16887246554017,7.07370380716385,6.78969729822137
Democratic Republic of the Congo,5.79821959796433,5.82572340080518,5.7434147691286,5.05939300717925,5.30234132745114,5.02869939168577,4.35626296229488,3.61227081782429,4.7928356400586,6.0195213670457,6.73294905928829
Chile,3.18141088465709,2.72277569734998,3.20739225920663,3.91578236514135,3.83803286275993,4.11352682517513,4.51131530392277,5.12355114250269,5.47956281010682,5.98129080201041,6.49646311681739
Chad,3.517757719048,1.20050438442012,0.793490236900204,0.407014147519911,6.74623544335148,6.28576796409733,5.82291834967566,5.84470259548431,6.24315068254089,6.65948210792534,6.37898152575722
Kenya,5.77818162569196,6.69574200444678,6.97478729130283,7.26250215146064,7.28035805954535,6.91501130133831,6.95039656831337,6.67241476939203,6.56610947988904,6.35814555751102,6.16581844474876
Yemen,7.59360606647054,8.06516560086488,7.96819306461479,7.97642867828895,8.03758312350265,7.89244004077146,7.49800658348487,7.18766860796287,6.82210200765611,6.1308758190484,5.86960807529559
Thailand,7.43334564923865,7.46303641739694,7.45736514818986,7.37685133707024,7.23588409169612,7.1019106854739,6.89532974869927,6.65096510815212,6.55585896544851,6.17244632659237,5.72251892950583
Turkey,6.91256064723818,7.30208748135605,6.95279904951824,6.41170042902081,7.49641099862074,8.17724322917079,7.83548468051879,7.40742284006381,7.02848082062963,6.47114108589634,5.65143918187146
Indonesia,5.29375680099118,5.30707399231262,5.16767841069794,4.73047224739122,4.75224082203116,4.81810433205289,4.88578354288372,5.85418902072224,5.47226146620598,5.38398030003777,5.49959433674321
Sri Lanka,6.16749765192141,5.45126026294583,4.20648827578008,1.6209448607453,0.758139170938462,0.459513909717347,1.52227131292986,3.12698580293484,6.64430028676526,6.04445104503522,5.44500419172909
