,month,sessions,sessions_mapped,sessions_validated,sessions_mapped_hours,sessions_validated_hours,projects_active,projects_new,users,users_mapper,users_validator,users_new,users_new_mapper,users_new_validator,countries,countries_new,cum_sessions,cum_sessions_mapped,cum_sessions_validated,cum_projects,cum_users,cum_users_mapper,cum_users_validator,cum_countries,filter,tasking_manager_dump_timestamps
0,2012-11-01,130,97,32,194.0,64.0,2,2,12,12,1,12,12,1,2,2.0,130.0,97.0,32.0,2.0,12.0,12.0,1.0,2.0,all,2023-01-02 23:59:40.539208
1,2012-12-01,2713,2302,379,4604.0,758.0,25,24,102,97,27,96,92,27,7,6.0,2843.0,2399.0,411.0,26.0,108.0,104.0,28.0,8.0,all,2023-01-02 23:59:40.539208
2,2013-01-01,3334,3167,127,6334.0,254.0,41,23,120,115,27,92,87,25,10,3.0,6177.0,5566.0,538.0,49.0,200.0,191.0,53.0,11.0,all,2023-01-02 23:59:40.539208
3,2013-02-01,2742,2310,333,4620.0,666.0,54,35,186,174,38,128,121,30,13,5.0,8919.0,7876.0,871.0,84.0,328.0,312.0,83.0,16.0,all,2023-01-02 23:59:40.539208
4,2013-03-01,2167,1629,483,3258.0,966.0,42,17,163,153,34,101,98,24,14,2.0,11086.0,9505.0,1354.0,101.0,429.0,410.0,107.0,18.0,all,2023-01-02 23:59:40.539208
5,2013-04-01,1016,853,132,1706.0,264.0,27,4,126,122,22,57,56,14,12,1.0,12102.0,10358.0,1486.0,105.0,486.0,466.0,121.0,19.0,all,2023-01-02 23:59:40.539208
6,2013-05-01,1454,1087,188,2174.0,376.0,26,11,111,104,34,86,83,30,11,2.0,13556.0,11445.0,1674.0,116.0,572.0,549.0,151.0,21.0,all,2023-01-02 23:59:40.539208
7,2013-06-01,1775,1708,54,3416.0,108.0,29,14,117,109,18,63,60,14,13,2.0,15331.0,13153.0,1728.0,130.0,635.0,609.0,165.0,23.0,all,2023-01-02 23:59:40.539208
8,2013-07-01,900,873,15,1746.0,30.0,22,8,85,82,8,49,48,5,13,3.0,16231.0,14026.0,1743.0,138.0,684.0,657.0,170.0,26.0,all,2023-01-02 23:59:40.539208
9,2013-08-01,4299,3500,753,7000.0,1506.0,46,26,111,109,20,63,61,18,13,1.0,20530.0,17526.0,2496.0,164.0,747.0,718.0,188.0,27.0,all,2023-01-02 23:59:40.539208
10,2013-09-01,1156,955,178,1910.0,356.0,35,9,103,91,21,53,46,14,17,2.0,21686.0,18481.0,2674.0,173.0,800.0,764.0,202.0,29.0,all,2023-01-02 23:59:40.539208
11,2013-10-01,4045,2385,1197,4770.0,2394.0,27,8,120,117,49,84,84,42,15,2.0,25731.0,20866.0,3871.0,181.0,884.0,848.0,244.0,31.0,all,2023-01-02 23:59:40.539208
12,2013-11-01,11411,7780,3176,15560.0,6352.0,68,40,879,814,262,735,678,238,21,3.0,37142.0,28646.0,7047.0,221.0,1619.0,1526.0,482.0,34.0,all,2023-01-02 23:59:40.539208
13,2013-12-01,2719,2099,484,4198.0,968.0,53,21,147,137,31,42,42,11,18,1.0,39861.0,30745.0,7531.0,242.0,1661.0,1568.0,493.0,35.0,all,2023-01-02 23:59:40.539208
